@RELATION manxknn
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Shuffle,Silence,Micbeep}

@DATA
0.005404,0.043273,2.702900,0.099372,0.189886,0.024716,0.038153,0.002193,-28.074701,2.446200,0.328551,0.334969,0.144593,0.220552,0.142569,0.113305,0.044236,0.082432,0.061996,0.104549,0.013617,0.000722,0.000121,0.086954,0.000495,0.032302,0.000421,0.299692,0.000069,0.000226,0.000815,0.004738,0.000155,0.090623,0.005037,0.033399,0.260949,0.026347,0.031104,0.020810,0.028570,0.001503,1.786766,0.257211,0.182942,0.191772,0.138622,0.132276,0.129206,0.126249,0.125538,0.121451,0.114261,0.114877,0.099241,0.000863,0.000184,0.072803,0.000634,0.031454,0.000542,0.115700,0.000084,0.000290,0.000893,0.005158,0.000205,0.024009,Shuffle
0.004481,0.049017,2.709951,0.099782,0.195760,0.022824,0.040694,0.002514,-27.212098,2.542596,0.297829,0.330471,0.150796,0.242262,0.148249,0.113056,0.024220,0.087136,0.060220,0.088058,0.035641,0.000788,0.000178,0.134604,0.000606,0.028990,0.000443,0.258551,0.000083,0.000276,0.000976,0.005876,0.000159,0.087146,0.004206,0.036837,0.210713,0.025094,0.030036,0.022550,0.034757,0.001813,1.617883,0.200727,0.130770,0.195474,0.094331,0.116989,0.111623,0.121897,0.111257,0.092139,0.091644,0.094373,0.086203,0.000894,0.000289,0.099885,0.000821,0.028634,0.000608,0.123211,0.000129,0.000397,0.001270,0.006711,0.000182,0.023314,Shuffle
0.006484,0.050404,2.701825,0.097749,0.184443,0.034159,0.044642,0.002706,-27.748745,2.489755,0.410289,0.303190,0.167704,0.250519,0.159051,0.109743,0.006821,0.084195,0.104578,0.102077,0.010514,0.000832,0.000119,0.134330,0.000528,0.023198,0.000416,0.276401,0.000092,0.000253,0.000980,0.005651,0.000196,0.089955,0.005072,0.047623,0.249089,0.031686,0.034793,0.037044,0.029796,0.001843,1.898277,0.176411,0.229913,0.172759,0.100755,0.162012,0.149965,0.110268,0.125919,0.109846,0.103467,0.114665,0.093502,0.001186,0.000173,0.093191,0.000789,0.022706,0.000565,0.114635,0.000150,0.000330,0.001321,0.007014,0.000332,0.020649,Shuffle
0.010752,0.078446,2.587584,0.110579,0.193857,0.053297,0.033856,0.002923,-27.177390,2.278575,0.507514,0.386473,0.259571,0.275900,0.103562,0.132639,0.037060,0.100354,0.082917,0.091407,0.025814,0.000802,0.000112,0.124625,0.000545,0.044411,0.000448,0.217411,0.000092,0.000288,0.001130,0.007687,0.000143,0.076374,0.009534,0.069050,0.311698,0.029750,0.028222,0.056643,0.032938,0.001976,2.275465,0.238581,0.246990,0.156399,0.160302,0.136033,0.131237,0.131315,0.115320,0.105367,0.102380,0.110646,0.110602,0.000863,0.000125,0.097777,0.000576,0.037154,0.000506,0.113597,0.000102,0.000365,0.001428,0.007451,0.000161,0.022574,Shuffle
0.015744,0.042795,2.544472,0.105066,0.182748,0.064746,0.030799,0.005150,-27.623863,2.250641,0.531231,0.343145,0.270174,0.295256,0.065368,0.009193,0.016711,0.102090,0.034669,0.060467,-0.000600,0.001523,0.000219,0.140227,0.002089,0.050492,0.001235,0.170421,0.000178,0.000667,0.002087,0.009206,0.000203,0.067719,0.011325,0.059915,0.350051,0.027716,0.029763,0.072397,0.016394,0.007685,1.555036,0.411449,0.269473,0.200897,0.181965,0.201407,0.204379,0.227356,0.172293,0.110297,0.103868,0.142816,0.168411,0.001979,0.000306,0.097575,0.004248,0.039783,0.002340,0.091136,0.000294,0.001334,0.003626,0.010945,0.000306,0.021450,Shuffle
0.012322,0.061827,2.491124,0.099882,0.182355,0.052563,0.047103,0.003857,-28.367189,2.347751,0.551952,0.312836,0.255882,0.290899,0.087294,0.097944,0.051872,0.101004,0.066249,0.103624,0.012679,0.001733,0.000154,0.114447,0.001045,0.058165,0.000650,0.179880,0.000132,0.000421,0.002047,0.008453,0.000185,0.068969,0.013034,0.081648,0.395342,0.031338,0.033545,0.087296,0.052866,0.005026,2.726210,0.476450,0.370545,0.259489,0.183323,0.198697,0.204513,0.188286,0.146848,0.137398,0.179967,0.147769,0.144740,0.003899,0.000235,0.101208,0.002375,0.048563,0.001005,0.113625,0.000265,0.000661,0.002921,0.009589,0.000284,0.024574,Shuffle
0.006846,0.107756,2.535643,0.102890,0.190822,0.034091,0.032347,0.002788,-25.643192,2.477463,0.421908,0.395888,0.302524,0.272799,0.076265,0.090736,0.013035,0.093448,0.049427,0.088442,0.044046,0.000941,0.000122,0.139106,0.000837,0.046973,0.000482,0.193183,0.000097,0.000414,0.001242,0.009428,0.000142,0.072480,0.005646,0.077514,0.376350,0.028309,0.032349,0.030143,0.036268,0.001545,1.757962,0.407285,0.253997,0.163569,0.201923,0.158161,0.132666,0.124425,0.130399,0.105005,0.115904,0.099926,0.124110,0.000862,0.000114,0.086517,0.001359,0.034716,0.000525,0.108362,0.000092,0.000466,0.001072,0.009348,0.000133,0.019723,Shuffle
0.005540,0.058084,2.628922,0.101274,0.190077,0.027808,0.036698,0.002441,-27.620198,2.365276,0.529225,0.450181,0.238921,0.323856,0.145829,0.185043,0.092522,0.147507,0.070024,0.094697,-0.015374,0.000606,0.000095,0.158231,0.000374,0.021591,0.000281,0.258069,0.000061,0.000186,0.001200,0.006272,0.000118,0.089177,0.004341,0.050740,0.240846,0.028038,0.031953,0.024827,0.025663,0.001275,1.792236,0.202417,0.307027,0.122288,0.133255,0.176977,0.121699,0.108096,0.111464,0.107630,0.099198,0.106146,0.105307,0.000678,0.000121,0.095143,0.000456,0.024093,0.000351,0.107510,0.000072,0.000211,0.001589,0.006709,0.000141,0.018989,Shuffle
0.005185,0.091399,2.603150,0.109053,0.210817,0.021374,0.019586,0.002722,-26.588942,2.391200,0.319120,0.464778,0.180707,0.215442,0.156033,0.164662,0.113258,0.138977,0.099179,0.087585,0.042705,0.000583,0.000138,0.192509,0.000435,0.016999,0.000296,0.234346,0.000065,0.000224,0.000836,0.007417,0.000138,0.089552,0.004946,0.098556,0.208959,0.011514,0.009863,0.012342,0.017155,0.001188,2.096435,0.151186,0.100228,0.089375,0.023652,0.040019,0.076737,0.081858,0.102912,0.093798,0.065176,0.052941,0.022406,0.000528,0.000105,0.122478,0.000386,0.012888,0.000294,0.086881,0.000065,0.000235,0.000773,0.006125,0.000147,0.011453,Shuffle
0.005894,0.042964,2.557695,0.105603,0.193197,0.032412,0.044506,0.002658,-28.373852,2.261601,0.470710,0.415843,0.199559,0.290419,0.100085,0.129245,0.080940,0.112867,0.056016,0.061529,-0.002242,0.000805,0.000119,0.127250,0.000585,0.021318,0.000498,0.286212,0.000072,0.000260,0.001195,0.007325,0.000201,0.090737,0.004554,0.030731,0.301307,0.027105,0.030998,0.027509,0.031649,0.001963,2.006856,0.270458,0.252665,0.138890,0.150242,0.165445,0.120602,0.103210,0.105248,0.110152,0.093128,0.091630,0.104059,0.001234,0.000142,0.079893,0.001091,0.025724,0.001074,0.106061,0.000079,0.000489,0.001833,0.008544,0.000398,0.020230,Shuffle
